"Data","Superfície d'água"
"1985-01-02T00:00:00.000Z",72977.28
"1986-01-02T00:00:00.000Z",72826.17
"1987-01-02T00:00:00.000Z",71422.1
"1988-01-02T00:00:00.000Z",69892.21
"1989-01-02T00:00:00.000Z",70488.75
"1990-01-02T00:00:00.000Z",69159.08
"1991-01-02T00:00:00.000Z",71370.19
"1992-01-02T00:00:00.000Z",72067.78
"1993-01-02T00:00:00.000Z",72933.19
"1994-01-02T00:00:00.000Z",70318.65
"1995-01-02T00:00:00.000Z",69553.51
"1996-01-02T00:00:00.000Z",69494.89
"1997-01-02T00:00:00.000Z",70163.85
"1998-01-02T00:00:00.000Z",68497.56
"1999-01-02T00:00:00.000Z",71476.97
"2000-01-02T00:00:00.000Z",61230.08
"2001-01-02T00:00:00.000Z",58522.15
"2002-01-02T00:00:00.000Z",61552.29
"2003-01-02T00:00:00.000Z",62610.24
"2004-01-02T00:00:00.000Z",63427.03
"2005-01-02T00:00:00.000Z",64231.77
"2006-01-02T00:00:00.000Z",65024.31
"2007-01-02T00:00:00.000Z",64813.32
"2008-01-02T00:00:00.000Z",63979.65
"2009-01-02T00:00:00.000Z",65644.99
"2010-01-02T00:00:00.000Z",63221.14
"2011-01-02T00:00:00.000Z",63265.39
"2012-01-02T00:00:00.000Z",63031.15
"2013-01-02T00:00:00.000Z",59623.14
"2014-01-02T00:00:00.000Z",60063.67
"2015-01-02T00:00:00.000Z",57695.81
"2016-01-02T00:00:00.000Z",56050.2
"2017-01-02T00:00:00.000Z",55605.04
"2018-01-02T00:00:00.000Z",57504.48
"2019-01-02T00:00:00.000Z",56802.05
"2020-01-02T00:00:00.000Z",59240.45
"2021-01-02T00:00:00.000Z",58828.65
"2022-01-02T00:00:00.000Z",66013.76