system:index,area,band,class,class_name,.geo
0_0_0,0.05997663812255859,classification_1985,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,27220.817292991465,classification_1985,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,550.7355719019121,classification_1985,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,5.775920266235277,classification_1985,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,493.7654599491445,classification_1985,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,467.4966369761459,classification_1985,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,230.98121956006162,classification_1985,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,4.369364849487296,classification_1985,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,42892.714059195394,classification_1985,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.005912499572753907,classification_1985,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,11769.842906033859,classification_1985,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,31.056648423224132,classification_1985,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,165.4169706243886,classification_1985,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,267.987737790965,classification_1985,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,1024.2712605722047,classification_1985,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,59.76866709686252,classification_1985,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,0.5179889142456049,classification_1985,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,736.5660521048692,classification_1985,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,89.64287357360944,classification_1985,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,514.0785520275821,classification_1985,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,0.06661017608642576,classification_1985,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,1.0608333526611329,classification_1985,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,86.905287953798,classification_1985,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,201.77560428667812,classification_1985,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,0.05491207452392577,classification_1986,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,26501.564248952258,classification_1986,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,448.0867956552713,classification_1986,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,5.705656279724057,classification_1986,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,547.0175246009301,classification_1986,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,373.4411805100158,classification_1986,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,220.12446432519891,classification_1986,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,2.9916471336059605,classification_1986,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,43519.743543431534,classification_1986,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,0.005912499572753907,classification_1986,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,12119.634085719515,classification_1986,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,36.812111276732836,classification_1986,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,183.11323995446668,classification_1986,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,143.71252879347395,classification_1986,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,1013.0704099244988,classification_1986,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_15,64.78970473748673,classification_1986,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_16,0.5501497885131823,classification_1986,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_17,738.2818705532267,classification_1986,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_18,44.07056175311269,classification_1986,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_19,597.0101167576851,classification_1986,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20,8.4341748046875E-4,classification_1986,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_21,1.1958940132446285,classification_1986,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_22,78.67248927453733,classification_1986,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_23,176.0295163324586,classification_1986,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,0.06250110119628904,classification_1987,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,26099.213818413347,classification_1987,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,444.9797573577856,classification_1987,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,5.680259337280213,classification_1987,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,601.3644601350452,classification_1987,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,305.3306673975298,classification_1987,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,214.9867031447182,classification_1987,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,2.557099596313481,classification_1987,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,43798.1751887223,classification_1987,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,12342.206704321201,classification_1987,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,39.211202600097316,classification_1987,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,186.75300037866128,classification_1987,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,112.29000059336487,classification_1987,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,1014.3641472692865,classification_1987,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,68.81334149652035,classification_1987,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_15,0.5509962453002917,classification_1987,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_16,734.3623070525907,classification_1987,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_17,26.2800411184082,classification_1987,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_18,592.7568091717466,classification_1987,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_19,1.2296582997436518,classification_1987,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_20,68.50891020849616,classification_1987,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_21,156.00183379834127,classification_1987,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,0.06420018878173826,classification_1988,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,25943.804034746292,classification_1988,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,447.12956280468825,classification_1988,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,5.537171023620568,classification_1988,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,775.204749149524,classification_1988,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,280.6115867438403,classification_1988,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,215.47076035602103,classification_1988,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,3.0842093986816472,classification_1988,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,44087.487228860846,classification_1988,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,12038.837210351168,classification_1988,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,38.70704351948937,classification_1988,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,193.08989427868644,classification_1988,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,95.68291796342125,classification_1988,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,1018.2693910704928,classification_1988,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_14,72.16995435662734,classification_1988,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_15,0.6204085482788063,classification_1988,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_16,703.585708107872,classification_1988,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_17,23.502211933471646,classification_1988,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_18,651.4274277709302,classification_1988,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_19,1.3761145447387695,classification_1988,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_20,63.82959926983678,classification_1988,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_21,156.1880227714844,classification_1988,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,0.08106885766601563,classification_1989,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,25537.147264710264,classification_1989,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,461.37491667506083,classification_1989,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,4.481552228881779,classification_1989,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,845.5381722812479,classification_1989,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,257.91497572217554,classification_1989,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,212.3174947495165,classification_1989,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,3.7862277468872088,classification_1989,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,44366.97760006019,classification_1989,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_9,12102.287245724707,classification_1989,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_10,31.49014371529223,classification_1989,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_11,201.6865974254153,classification_1989,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_12,91.66771098170172,classification_1989,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_13,1010.1514458618766,classification_1989,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_14,76.3551352589095,classification_1989,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_15,0.6830493307495099,classification_1989,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_16,702.1264100344771,classification_1989,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_17,20.80164982696512,classification_1989,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_18,663.2941379984054,classification_1989,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_19,1.3844867788696282,classification_1989,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_20,60.719211812805554,classification_1989,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_21,163.41290997680542,classification_1989,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,0.091190939453125,classification_1990,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,25368.87984015908,classification_1990,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,454.6026830572654,classification_1990,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,4.346947214721606,classification_1990,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,860.349758701055,classification_1990,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,230.9869572258936,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,212.27216052032819,classification_1990,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,3.934759481872567,classification_1990,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,44689.14359766255,classification_1990,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,11979.08646670705,classification_1990,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,24.280689739584417,classification_1990,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,207.56618017260755,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,91.88894129566656,classification_1990,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,1010.2355106220675,classification_1990,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_14,78.46157165484411,classification_1990,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_15,0.6745900859985322,classification_1990,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_16,693.8525983020562,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_17,21.634955347473035,classification_1990,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_18,654.2477808220787,classification_1990,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_19,1.4216109763793938,classification_1990,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_20,59.90210613952713,classification_1990,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_21,167.81851093163596,classification_1990,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,0.06841332531738278,classification_1991,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,25045.0807197051,classification_1991,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,445.87143834479957,classification_1991,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,5.285714382934553,classification_1991,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,1037.3587255129405,classification_1991,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,229.54300794318112,classification_1991,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,214.08602970154152,classification_1991,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_7,3.5751844459228566,classification_1991,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_8,44962.59709707406,classification_1991,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_9,11847.710490361484,classification_1991,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_10,22.067137504666416,classification_1991,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_11,215.98853891748013,classification_1991,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_12,83.76874865005321,classification_1991,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_13,1003.6856858980058,classification_1991,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_14,79.59730768524025,classification_1991,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_15,0.6271897962036118,classification_1991,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_16,726.7563979170246,classification_1991,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_17,24.777062307190153,classification_1991,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_18,639.821477694029,classification_1991,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_19,1.390438275878906,classification_1991,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_20,57.697764080139386,classification_1991,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_21,168.32483823742174,classification_1991,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,0.0836433642578125,classification_1992,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_1,24970.998782183928,classification_1992,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_2,437.7585054704667,classification_1992,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_3,6.2642874354858105,classification_1992,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_4,1109.5070395765356,classification_1992,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_5,231.95979345051333,classification_1992,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_6,216.13505045227404,classification_1992,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_7,2.7052143532104473,classification_1992,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_8,44954.61133480442,classification_1992,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_9,11847.793687074567,classification_1992,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_10,23.613714176682905,classification_1992,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_11,222.3626756844496,classification_1992,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_12,72.89942950553551,classification_1992,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_13,999.1481165935033,classification_1992,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_14,81.32355099175888,classification_1992,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_15,0.5874041032104473,classification_1992,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_16,743.7515946488612,classification_1992,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_17,24.830471875488602,classification_1992,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_18,641.6756732654394,classification_1992,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_19,1.393090910644532,classification_1992,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_20,59.550086436584735,classification_1992,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_21,166.72626140288858,classification_1992,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,0.10305274426269531,classification_1993,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_1,24955.510284134438,classification_1993,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_2,436.1394669091894,classification_1993,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_3,6.530938502319322,classification_1993,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_4,1118.2121219762678,classification_1993,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_5,242.97648002637627,classification_1993,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_6,221.65207591498176,classification_1993,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_7,1.8261930708007834,classification_1993,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_8,45059.25668271463,classification_1993,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_9,11731.15117974693,classification_1993,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_10,27.062352741441245,classification_1993,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_11,237.53785227887107,classification_1993,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_12,67.005497152081,classification_1993,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_13,995.1617422716014,classification_1993,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_14,83.69249249072138,classification_1993,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_15,0.5747064039306625,classification_1993,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_16,727.430951914119,classification_1993,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_17,27.219813751770552,classification_1993,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_18,645.4154068181706,classification_1993,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_19,1.4033292752075197,classification_1993,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_20,61.52525426336688,classification_1993,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_21,168.29153265905376,classification_1993,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,0.09629834674072264,classification_1994,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_1,24917.37743739605,classification_1994,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_2,429.78994862482415,classification_1994,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_3,6.812811577819897,classification_1994,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_4,1191.6557958359533,classification_1994,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_5,259.76264753974544,classification_1994,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_6,226.0152818726834,classification_1994,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_7,0.8069751216430665,classification_1994,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_8,44659.70014956421,classification_1994,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_9,12005.162760290443,classification_1994,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_10,34.0695196005723,classification_1994,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_11,269.5870102339476,classification_1994,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_12,62.24860567228354,classification_1994,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
